(n, m) = (5, 200)     | (i, j) = (3, 1) | D = 0.32025
(n, m) = (5, 200)     | (i, j) = (3, 2) | D = 0.32025
(n, m) = (5, 200)     | (i, j) = (3, 3) | D = 0.30921
(n, m) = (5, 200)     | (i, j) = (3, 4) | D = 0.34234
(n, m) = (5, 200)     | (i, j) = (4, 0) | D = 0.0773
(n, m) = (5, 200)     | (i, j) = (4, 1) | D = 0.12147
(n, m) = (5, 200)     | (i, j) = (4, 2) | D = 0.12147
(n, m) = (5, 200)     | (i, j) = (4, 3) | D = 0.13252
(n, m) = (5, 200)     | (i, j) = (4, 4) | D = 0.09939
(n, m) = (5, 400)     | (i, j) = (0, 0) | D = 0.1
(n, m) = (5, 400)     | (i, j) = (0, 1) | D = 0.12778
(n, m) = (5, 400)     | (i, j) = (0, 2) | D = 0.08333
(n, m) = (5, 400)     | (i, j) = (0, 3) | D = 0.05556
(n, m) = (5, 400)     | (i, j) = (0, 4) | D = 0.06111
(n, m) = (5, 400)     | (i, j) = (1, 0) | D = 0.34444
(n, m) = (5, 400)     | (i, j) = (1, 1) | D = 0.31667
(n, m) = (5, 400)     | (i, j) = (1, 2) | D = 0.36111
(n, m) = (5, 400)     | (i, j) = (1, 3) | D = 0.38889
(n, m) = (5, 400)     | (i, j) = (1, 4) | D = 0.38333
(n, m) = (5, 400)     | (i, j) = (2, 0) | D = 0.1
(n, m) = (5, 400)     | (i, j) = (2, 1) | D = 0.12778
(n, m) = (5, 400)     | (i, j) = (2, 2) | D = 0.08333
(n, m) = (5, 400)     | (i, j) = (2, 3) | D = 0.05556
(n, m) = (5, 400)     | (i, j) = (2, 4) | D = 0.06111
(n, m) = (5, 400)     | (i, j) = (3, 0) | D = 0.34444
(n, m) = (5, 400)     | (i, j) = (3, 1) | D = 0.31667
(n, m) = (5, 400)     | (i, j) = (3, 2) | D = 0.36111
(n, m) = (5, 400)     | (i, j) = (3, 3) | D = 0.38889
(n, m) = (5, 400)     | (i, j) = (3, 4) | D = 0.38333
(n, m) = (5, 400)     | (i, j) = (4, 0) | D = 0.1
(n, m) = (5, 400)     | (i, j) = (4, 1) | D = 0.12778
(n, m) = (5, 400)     | (i, j) = (4, 2) | D = 0.08333
(n, m) = (5, 400)     | (i, j) = (4, 3) | D = 0.05556
(n, m) = (5, 400)     | (i, j) = (4, 4) | D = 0.06111
(n, m) = (5, 600)     | (i, j) = (0, 0) | D = 0.10763
(n, m) = (5, 600)     | (i, j) = (0, 1) | D = 0.10021
(n, m) = (5, 600)     | (i, j) = (0, 2) | D = 0.05938
(n, m) = (5, 600)     | (i, j) = (0, 3) | D = 0.09278
(n, m) = (5, 600)     | (i, j) = (0, 4) | D = 0.08907
(n, m) = (5, 600)     | (i, j) = (1, 0) | D = 0.33773
(n, m) = (5, 600)     | (i, j) = (1, 1) | D = 0.34516
(n, m) = (5, 600)     | (i, j) = (1, 2) | D = 0.38598
(n, m) = (5, 600)     | (i, j) = (1, 3) | D = 0.35258
(n, m) = (5, 600)     | (i, j) = (1, 4) | D = 0.35629
(n, m) = (5, 600)     | (i, j) = (2, 0) | D = 0.10763
(n, m) = (5, 600)     | (i, j) = (2, 1) | D = 0.10021
(n, m) = (5, 600)     | (i, j) = (2, 2) | D = 0.05938
(n, m) = (5, 600)     | (i, j) = (2, 3) | D = 0.09278
(n, m) = (5, 600)     | (i, j) = (2, 4) | D = 0.08907
(n, m) = (5, 600)     | (i, j) = (3, 0) | D = 0.33773
(n, m) = (5, 600)     | (i, j) = (3, 1) | D = 0.34516
(n, m) = (5, 600)     | (i, j) = (3, 2) | D = 0.38598
(n, m) = (5, 600)     | (i, j) = (3, 3) | D = 0.35258
(n, m) = (5, 600)     | (i, j) = (3, 4) | D = 0.35629
(n, m) = (5, 600)     | (i, j) = (4, 0) | D = 0.10763
(n, m) = (5, 600)     | (i, j) = (4, 1) | D = 0.10021
(n, m) = (5, 600)     | (i, j) = (4, 2) | D = 0.05938
(n, m) = (5, 600)     | (i, j) = (4, 3) | D = 0.09278
(n, m) = (5, 600)     | (i, j) = (4, 4) | D = 0.08907
(n, m) = (5, 800)     | (i, j) = (0, 0) | D = 0.11424
(n, m) = (5, 800)     | (i, j) = (0, 1) | D = 0.06966
(n, m) = (5, 800)     | (i, j) = (0, 2) | D = 0.08638
(n, m) = (5, 800)     | (i, j) = (0, 3) | D = 0.07802
(n, m) = (5, 800)     | (i, j) = (0, 4) | D = 0.1031
(n, m) = (5, 800)     | (i, j) = (1, 0) | D = 0.33158
(n, m) = (5, 800)     | (i, j) = (1, 1) | D = 0.37616
(n, m) = (5, 800)     | (i, j) = (1, 2) | D = 0.35944
(n, m) = (5, 800)     | (i, j) = (1, 3) | D = 0.3678
(n, m) = (5, 800)     | (i, j) = (1, 4) | D = 0.34273
(n, m) = (5, 800)     | (i, j) = (2, 0) | D = 0.11424
(n, m) = (5, 800)     | (i, j) = (2, 1) | D = 0.06966
