(n, m) = (5, 600)     | D = 0.00407
(n, m) = (5, 600)     | D = 0.00241
(n, m) = (5, 600)     | D = 0.00377
(n, m) = (5, 600)     | D = 0.00362
(n, m) = (5, 800)     | D = 0.00403
(n, m) = (5, 800)     | D = 0.00246
(n, m) = (5, 800)     | D = 0.00304
(n, m) = (5, 800)     | D = 0.00275
(n, m) = (5, 800)     | D = 0.00363
(n, m) = (5, 800)     | D = 0.01169
(n, m) = (5, 800)     | D = 0.01326
(n, m) = (5, 800)     | D = 0.01267
(n, m) = (5, 800)     | D = 0.01296
(n, m) = (5, 800)     | D = 0.01208
(n, m) = (5, 800)     | D = 0.00403
(n, m) = (5, 800)     | D = 0.00246
(n, m) = (5, 800)     | D = 0.00304
(n, m) = (5, 800)     | D = 0.00275
(n, m) = (5, 800)     | D = 0.00363
(n, m) = (5, 800)     | D = 0.01169
(n, m) = (5, 800)     | D = 0.01326
(n, m) = (5, 800)     | D = 0.01267
(n, m) = (5, 800)     | D = 0.01296
(n, m) = (5, 800)     | D = 0.01208
(n, m) = (5, 800)     | D = 0.00403
(n, m) = (5, 800)     | D = 0.00246
(n, m) = (5, 800)     | D = 0.00304
(n, m) = (5, 800)     | D = 0.00275
(n, m) = (5, 800)     | D = 0.00363
(n, m) = (5, 1000)    | D = 0.00352
(n, m) = (5, 1000)    | D = 0.0019
(n, m) = (5, 1000)    | D = 0.0031
(n, m) = (5, 1000)    | D = 0.00288
(n, m) = (5, 1000)    | D = 0.00204
(n, m) = (5, 1000)    | D = 0.01055
(n, m) = (5, 1000)    | D = 0.01217
(n, m) = (5, 1000)    | D = 0.01098
(n, m) = (5, 1000)    | D = 0.01119
(n, m) = (5, 1000)    | D = 0.01203
(n, m) = (5, 1000)    | D = 0.00352
(n, m) = (5, 1000)    | D = 0.0019
(n, m) = (5, 1000)    | D = 0.0031
(n, m) = (5, 1000)    | D = 0.00288
(n, m) = (5, 1000)    | D = 0.00204
(n, m) = (5, 1000)    | D = 0.01055
(n, m) = (5, 1000)    | D = 0.01217
(n, m) = (5, 1000)    | D = 0.01098
(n, m) = (5, 1000)    | D = 0.01119
(n, m) = (5, 1000)    | D = 0.01203
(n, m) = (5, 1000)    | D = 0.00352
(n, m) = (5, 1000)    | D = 0.0019
(n, m) = (5, 1000)    | D = 0.0031
(n, m) = (5, 1000)    | D = 0.00288
(n, m) = (5, 1000)    | D = 0.00204
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.0
(n, m) = (10, 5)      | D = 0.09428
(n, m) = (10, 5)      | D = 0.0
(n, m) = (10, 5)      | D = 0.09428
(n, m) = (10, 5)      | D = 0.0
(n, m) = (10, 5)      | D = 0.0
(n, m) = (10, 5)      | D = 0.09428
(n, m) = (10, 5)      | D = 0.0
(n, m) = (10, 5)      | D = 0.09428
(n, m) = (10, 5)      | D = 0.0
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 5)      | D = 0.04714
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.05
(n, m) = (10, 10)     | D = 0.0
(n, m) = (10, 100)    | D = 0.01725
(n, m) = (10, 100)    | D = 0.02012
(n, m) = (10, 100)    | D = 0.0115
(n, m) = (10, 100)    | D = 0.01437
(n, m) = (10, 100)    | D = 0.00862
(n, m) = (10, 100)    | D = 0.01725
(n, m) = (10, 100)    | D = 0.02012
(n, m) = (10, 100)    | D = 0.0115
(n, m) = (10, 100)    | D = 0.01437
(n, m) = (10, 100)    | D = 0.00862
(n, m) = (10, 100)    | D = 0.0115
(n, m) = (10, 100)    | D = 0.00862
(n, m) = (10, 100)    | D = 0.01725
(n, m) = (10, 100)    | D = 0.01437
(n, m) = (10, 100)    | D = 0.02012
(n, m) = (10, 100)    | D = 0.0115
(n, m) = (10, 100)    | D = 0.00862
(n, m) = (10, 100)    | D = 0.01725
(n, m) = (10, 100)    | D = 0.01437
(n, m) = (10, 100)    | D = 0.02012
(n, m) = (10, 100)    | D = 0.01725
(n, m) = (10, 100)    | D = 0.02012
(n, m) = (10, 100)    | D = 0.0115
(n, m) = (10, 100)    | D = 0.01437
